Date,Close,High,Low,Open,Volume
2021-06-22,130.6,130.69,128.3,128.79,74783600
2021-06-23,130.32,130.93,129.87,130.39,60214200
2021-06-24,130.04,131.24,129.57,131.06,68711000
2021-06-25,129.75,130.51,129.46,130.09,70783700
2021-06-28,131.38,131.84,129.98,130.04,62111300
2021-06-29,132.89,133.04,130.96,131.4,64556100
2021-06-30,133.5,133.94,132.44,132.73,63261400
2021-07-01,133.8,133.86,132.33,133.15,52485800
2021-07-02,136.43,136.47,134.27,134.42,78852600
2021-07-06,138.43,139.54,136.53,136.53,108181800
2021-07-07,140.92,141.23,139.06,139.92,104911600
2021-07-08,139.62,140.42,137.12,138.01,105575500
2021-07-09,141.45,141.97,139.05,139.15,99890800
2021-07-12,140.85,142.63,140.36,142.52,76299700
2021-07-13,141.96,143.74,140.0,140.39,100827100
2021-07-14,145.38,145.79,143.95,144.36,127050800
2021-07-15,144.73,146.21,143.38,145.47,106820300
2021-07-16,142.69,145.98,142.2,144.71,93251400
2021-07-19,138.85,140.43,138.09,140.12,121434600
2021-07-20,142.46,143.39,139.35,139.84,96350000
2021-07-21,141.73,142.44,140.98,141.86,74993500
2021-07-22,143.09,144.46,142.13,142.26,77338200
2021-07-23,144.81,144.97,143.21,143.82,71447400
2021-07-26,145.23,146.05,143.97,144.53,72434100
2021-07-27,143.06,145.44,141.88,145.36,104818600
2021-07-28,141.32,143.26,138.94,141.15,118931200
2021-07-29,141.96,142.85,140.93,141.04,56699500
2021-07-30,142.18,142.64,140.47,140.73,70440600
2021-08-02,141.85,143.24,141.58,142.66,62880000
2021-08-03,143.64,144.3,141.51,142.13,64786600
2021-08-04,143.24,144.06,142.59,143.55,56368300
2021-08-05,143.35,144.11,142.48,143.27,46397700
2021-08-06,142.66,143.61,142.17,142.87,54126800
2021-08-09,142.61,143.21,142.06,142.72,48908700
2021-08-10,142.14,144.2,141.84,142.96,69023100
2021-08-11,142.39,143.23,142.07,142.58,48493500
2021-08-12,145.35,145.5,142.37,142.71,72282600
2021-08-13,145.55,145.89,144.74,145.43,59375000
2021-08-16,147.53,147.59,142.99,145.01,103296000
2021-08-17,146.62,148.07,145.54,146.66,92229700
2021-08-18,142.88,147.13,142.67,146.24,86326000
2021-08-19,143.21,144.48,141.06,141.58,86960300
2021-08-20,144.66,144.97,143.29,143.93,60549600
2021-08-23,146.15,146.62,144.37,144.78,60131800
2021-08-24,146.06,147.27,145.6,145.89,48606400
2021-08-25,144.83,146.74,144.28,146.25,58991300
2021-08-26,144.03,145.57,144.0,144.82,48597200
2021-08-27,145.07,145.21,143.34,143.97,55802400
2021-08-30,149.48,149.84,145.07,145.46,90956700
2021-08-31,148.22,149.17,147.69,149.03,86453100
2021-09-01,148.88,151.29,148.72,149.19,80313700
2021-09-02,150.0,151.04,148.77,150.21,71115500
2021-09-03,150.63,150.95,149.45,150.1,57808700
2021-09-07,152.96,153.52,150.72,151.28,82278300
2021-09-08,151.42,153.3,150.32,153.25,74420200
2021-09-09,150.41,152.4,150.29,151.79,57305700
2021-09-10,145.43,151.78,145.16,151.31,140893200
2021-09-13,145.99,147.82,145.21,147.05,102404300
2021-09-14,144.6,147.48,143.42,146.77,109296300
2021-09-15,145.48,145.89,142.89,145.03,83281300
2021-09-16,145.25,145.43,143.72,144.91,68034100
2021-09-17,142.59,145.28,142.29,145.28,129868800
2021-09-20,139.54,141.39,137.91,140.38,123478900
2021-09-21,140.02,141.16,139.38,140.51,75834000
2021-09-22,142.38,142.95,140.28,141.01,76404300
2021-09-23,143.34,143.58,142.18,143.16,64838200
2021-09-24,143.43,143.96,142.1,142.2,53477900
2021-09-27,141.91,142.49,140.4,142.01,74150700
2021-09-28,138.53,141.31,138.32,139.84,108972300
2021-09-29,139.43,141.01,138.65,139.08,74602000
2021-09-30,138.13,140.95,137.92,140.24,89056700
2021-10-01,139.26,139.52,135.8,138.52,94639600
2021-10-04,135.83,138.83,134.98,138.39,98322000
2021-10-05,137.75,138.86,136.04,136.17,80861100
2021-10-06,138.62,138.77,135.08,136.15,83221100
2021-10-07,139.88,140.79,139.33,139.66,61732700
2021-10-08,139.5,140.75,139.17,140.6,58773200
2021-10-11,139.41,141.37,138.44,138.89,64452200
2021-10-12,138.14,139.84,137.68,139.82,73035900
2021-10-13,137.56,138.04,135.89,137.88,78762700
2021-10-14,140.34,140.46,138.14,138.73,69907100
2021-10-15,141.39,141.45,140.1,140.35,67940300
2021-10-18,143.06,143.35,139.75,140.04,85589200
2021-10-19,145.22,145.62,143.06,143.51,76378900
2021-10-20,145.71,146.19,144.6,145.16,58418800
2021-10-21,145.92,146.08,144.35,145.27,61421000
2021-10-22,145.15,146.61,145.1,146.13,58883400
2021-10-25,145.1,145.82,144.11,145.14,50720600
2021-10-26,145.77,147.25,145.47,145.78,60893400
2021-10-27,145.31,146.17,144.96,145.81,56094900
2021-10-28,148.94,149.53,146.16,146.26,100077900
2021-10-29,146.24,146.37,142.93,143.72,124953200
2021-11-01,145.42,146.14,144.28,145.45,74588300
2021-11-02,146.45,147.96,145.11,145.12,69122000
2021-11-03,147.89,148.36,146.26,146.81,54511500
2021-11-04,147.37,148.8,147.06,147.97,60394600
2021-11-05,147.9,148.8,146.7,148.49,65463900
2021-11-08,147.08,148.18,146.8,148.02,55020900
2021-11-09,147.44,148.04,146.7,146.84,56787900
2021-11-10,144.61,146.77,144.54,146.67,65187100
2021-11-11,144.56,146.09,144.38,145.63,41000000
2021-11-12,146.64,147.04,144.18,145.11,63804000
2021-11-15,146.65,148.48,146.09,147.01,59222800
2021-11-16,147.62,148.1,146.0,146.59,59256200
2021-11-17,150.06,151.53,147.61,147.62,88807000
2021-11-18,154.34,155.12,149.63,150.27,137827700
2021-11-19,156.96,157.42,153.03,154.12,117305600
2021-11-22,157.42,161.99,157.4,158.06,117467900
2021-11-23,157.8,158.18,155.5,157.52,96041900
2021-11-24,158.32,158.51,156.07,157.16,69463600
2021-11-26,153.3,156.86,152.86,156.0,76959800
2021-11-29,156.66,157.59,155.24,155.81,88748200
2021-11-30,161.6,161.82,156.34,156.41,174048100
2021-12-01,161.09,166.49,160.85,163.73,152052500
2021-12-02,160.1,160.53,154.27,155.19,136739200
2021-12-03,158.22,161.27,156.15,160.35,118023100
2021-12-06,161.62,164.13,160.61,160.62,107497000
2021-12-07,167.35,167.74,164.58,165.3,120405400
2021-12-08,171.16,172.03,166.88,168.28,116998900
2021-12-09,170.66,172.8,170.03,171.0,108923700
2021-12-10,175.44,175.61,170.78,171.29,115402700
2021-12-13,171.81,178.06,171.6,177.07,153237000
2021-12-14,170.43,173.77,168.36,171.33,139380400
2021-12-15,175.29,175.49,168.46,171.19,131063300
2021-12-16,168.41,177.09,166.93,175.27,150185800
2021-12-17,167.31,169.59,165.9,166.13,195432700
2021-12-20,165.95,166.77,163.72,164.52,107499100
2021-12-21,169.12,169.33,165.34,167.72,91185900
2021-12-22,171.71,171.93,168.3,169.17,92135300
2021-12-23,172.34,172.9,171.35,171.92,68356600
2021-12-27,176.3,176.39,173.11,173.13,74919600
2021-12-28,175.28,177.27,174.54,176.13,79144300
2021-12-29,175.37,176.59,174.16,175.32,62348900
2021-12-30,174.21,176.53,174.11,175.46,59773000
2021-12-31,173.6,175.22,173.3,174.11,64062300
2022-01-03,177.94,178.79,173.74,173.85,104487900
2022-01-04,175.68,178.85,175.11,178.55,99310400
2022-01-05,171.01,176.14,170.73,175.59,94537600
2022-01-06,168.15,171.38,167.8,168.84,96904000
2022-01-07,168.32,170.25,167.21,169.02,86709100
2022-01-10,168.34,168.64,164.41,165.3,106765600
2022-01-11,171.16,171.26,167.0,168.47,76138300
2022-01-12,171.6,173.22,170.91,172.18,74805200
2022-01-13,168.34,172.67,167.95,171.85,84505800
2022-01-14,169.2,169.89,167.26,167.51,80440800
2022-01-18,166.0,168.68,165.62,167.67,90956700
2022-01-19,162.51,167.25,162.23,166.2,94815000
2022-01-20,160.83,165.89,160.51,163.25,91420500
2022-01-21,158.78,162.61,158.67,160.74,122848900
2022-01-24,158.01,158.67,151.24,156.44,162294600
2022-01-25,156.21,159.12,153.51,155.42,115798400
2022-01-26,156.12,160.71,154.29,159.84,108275300
2022-01-27,155.66,160.18,154.74,158.82,121954600
2022-01-28,166.52,166.54,159.16,162.0,179935700
2022-01-31,170.87,171.09,165.72,166.35,115541600
2022-02-01,170.71,170.93,168.46,170.12,86213900
2022-02-02,171.91,171.95,169.45,170.84,84914300
2022-02-03,169.03,172.3,168.27,170.58,89418100
2022-02-04,168.75,170.42,167.08,168.05,82465400
2022-02-07,168.04,170.28,167.34,169.21,77251200
2022-02-08,171.14,171.65,167.81,168.1,74829200
2022-02-09,172.56,172.92,171.21,172.33,71285000
2022-02-10,168.49,171.77,167.93,170.46,90865900
2022-02-11,165.08,169.43,164.49,168.69,98670700
2022-02-14,165.31,166.0,163.04,163.84,86185500
2022-02-15,169.14,169.3,166.65,167.36,62527400
2022-02-16,168.91,169.68,166.46,168.22,61177400
2022-02-17,165.31,168.28,164.91,167.42,69589300
2022-02-18,163.77,166.94,162.68,166.23,82772700
2022-02-22,160.85,163.17,158.73,161.5,91162800
2022-02-23,156.69,162.64,156.38,162.04,90009200
2022-02-24,159.3,159.41,148.79,149.36,141147500
2022-02-25,161.37,161.63,157.47,160.38,91974200
2022-02-28,161.63,161.93,159.0,159.62,95056600
2022-03-01,159.75,163.08,158.55,161.22,83474400
2022-03-02,163.04,163.83,159.51,160.92,79724800
2022-03-03,162.72,165.34,162.05,164.91,76678400
2022-03-04,159.72,162.05,158.68,161.02,83737200
2022-03-07,155.94,161.54,155.68,159.91,96418800
2022-03-08,154.12,159.44,152.51,155.47,131148300
2022-03-09,159.51,159.96,156.04,158.07,91454900
2022-03-10,155.17,157.0,152.69,156.82,105342000
2022-03-11,151.46,155.92,151.24,155.57,96970100
2022-03-14,147.44,150.87,146.93,148.25,108732100
2022-03-15,151.81,152.28,147.2,147.71,92964300
2022-03-16,156.22,156.62,151.2,153.73,102300200
2022-03-17,157.23,157.6,154.3,155.26,75615400
2022-03-18,160.52,161.01,156.39,157.12,123511700
2022-03-21,161.89,162.84,159.57,160.06,95811400
2022-03-22,165.25,165.84,161.43,162.01,81532000
2022-03-23,166.62,168.99,164.11,164.44,98062700
2022-03-24,170.39,170.46,166.62,167.45,90131400
2022-03-25,171.03,171.58,169.1,170.21,80546200
2022-03-28,171.89,172.02,168.37,168.53,90371900
2022-03-29,175.18,175.23,172.62,172.96,100589400
2022-03-30,174.02,175.82,172.97,174.78,92633200
2022-03-31,170.92,174.27,170.72,174.08,103049300
2022-04-01,170.63,171.19,168.31,170.35,78751300
2022-04-04,174.67,174.72,170.76,170.88,76468400
2022-04-05,171.36,174.53,170.74,173.75,73401800
2022-04-06,168.2,169.96,166.54,168.72,89058800
2022-04-07,168.5,169.7,166.26,167.55,77594700
2022-04-08,166.5,168.15,165.63,168.15,76575500
2022-04-11,162.25,165.46,162.01,165.15,72246700
2022-04-12,164.12,166.28,163.12,164.47,79265200
2022-04-13,166.8,167.43,163.25,163.86,70618900
2022-04-14,161.8,167.65,161.55,167.02,75329400
2022-04-18,161.58,163.08,160.12,160.46,69023900
2022-04-19,163.86,164.28,160.45,161.54,67723800
2022-04-20,163.7,165.31,162.59,165.2,67929800
2022-04-21,162.91,167.91,162.41,165.34,87227800
2022-04-22,158.37,164.33,158.09,162.94,84882400
2022-04-25,159.44,159.72,155.11,157.72,96046400
2022-04-26,153.49,158.91,153.41,158.82,95623200
2022-04-27,153.26,156.42,152.1,152.62,88063200
2022-04-28,160.18,161.05,155.57,155.89,130216800
2022-04-29,154.32,162.69,153.93,158.42,131747600
2022-05-02,154.62,154.89,150.03,153.4,123055300
2022-05-03,156.11,157.32,153.02,154.81,88966500
2022-05-04,162.51,162.96,155.9,156.3,108256500
2022-05-05,153.46,160.62,151.68,160.39,130525300
2022-05-06,154.18,156.3,151.15,152.94,116124600
2022-05-09,149.07,152.76,148.51,151.88,131577900
2022-05-10,151.47,153.66,149.92,152.46,115366700
2022-05-11,143.62,152.39,142.94,150.48,142689800
2022-05-12,139.75,143.32,136.07,139.96,182602000
2022-05-13,144.21,145.19,140.29,141.74,113990900
2022-05-16,142.68,144.62,141.34,142.69,86643800
2022-05-17,146.3,146.82,143.79,145.93,78336300
2022-05-18,138.05,144.46,137.15,143.96,109742900
2022-05-19,134.65,138.87,133.91,137.13,136095600
2022-05-20,134.88,137.93,130.0,136.35,137426100
2022-05-23,140.29,140.44,134.94,135.08,117726300
2022-05-24,137.6,139.18,134.63,138.04,104132700
2022-05-25,137.75,139.0,135.62,135.71,92482700
2022-05-26,140.95,141.5,134.44,134.69,90601500
2022-05-27,146.7,146.73,142.4,142.53,90978500
2022-05-31,145.91,147.7,143.95,146.14,103718400
2022-06-01,145.78,148.75,144.77,146.95,74286600
2022-06-02,148.23,148.29,143.97,144.92,72348100
2022-06-03,142.52,145.06,141.62,144.01,88570300
2022-06-06,143.26,145.65,142.05,144.14,71598400
2022-06-07,145.78,146.07,141.26,141.51,67808200
2022-06-08,145.05,146.92,144.56,145.66,53950200
