Date,Close,High,Low,Open,Volume
2021-06-22,254.81,255.08,251.82,252.13,24694100
2021-06-23,254.58,256.08,253.77,255.27,19518700
2021-06-24,255.94,257.05,254.77,255.43,21446900
2021-06-25,254.34,256.48,254.09,255.5,25611100
2021-06-28,257.89,258.06,255.19,255.46,19590000
2021-06-29,260.46,260.7,257.18,258.03,19937800
2021-06-30,259.98,260.42,258.73,259.78,21656500
2021-07-01,260.65,260.88,258.73,258.74,16725300
2021-07-02,266.46,266.8,261.52,261.82,26458000
2021-07-06,266.47,268.11,263.24,266.82,31565600
2021-07-07,268.65,269.38,265.98,268.14,23260000
2021-07-08,266.24,267.5,263.79,265.74,24618600
2021-07-09,266.74,266.84,264.22,264.61,23916700
2021-07-12,266.14,268.49,265.43,267.91,18931700
2021-07-13,269.66,271.45,266.21,266.34,26120100
2021-07-14,271.12,272.23,269.24,270.97,23113700
2021-07-15,269.7,271.12,268.55,270.63,22604200
2021-07-16,269.43,272.65,268.2,270.7,26186800
2021-07-19,265.85,269.07,263.39,267.69,32935600
2021-07-20,268.06,269.65,265.13,266.82,26259700
2021-07-21,270.06,270.17,266.11,267.66,24364300
2021-07-22,274.61,274.88,272.0,272.4,23384100
2021-07-23,278.0,278.3,274.95,275.79,22768100
2021-07-26,277.4,278.01,275.09,277.35,23176100
2021-07-27,274.99,277.91,271.55,277.76,33604100
2021-07-28,274.68,278.46,272.39,277.34,33566900
2021-07-29,274.95,276.99,274.55,274.7,18168300
2021-07-30,273.43,275.11,272.47,273.68,20944800
2021-08-02,273.34,275.21,272.3,274.82,16267400
2021-08-03,275.55,275.65,272.55,273.92,17879000
2021-08-04,274.96,276.0,273.18,274.68,16191300
2021-08-05,277.85,277.96,274.57,275.32,13900200
2021-08-06,277.79,277.83,276.03,276.88,16589300
2021-08-09,276.71,279.8,276.21,278.07,16117600
2021-08-10,274.9,277.59,273.71,277.16,18616600
2021-08-11,275.39,277.03,274.34,275.63,13955900
2021-08-12,278.13,278.28,274.8,275.08,14561300
2021-08-13,281.05,281.1,277.64,277.81,18249000
2021-08-16,282.73,282.94,278.33,281.37,22507600
2021-08-17,281.27,281.6,279.35,280.61,20075300
2021-08-18,279.55,283.48,279.1,280.81,21813000
2021-08-19,285.35,286.03,277.54,277.59,29850500
2021-08-20,292.65,294.08,286.59,288.19,40817600
2021-08-23,292.93,293.65,290.24,291.59,22830200
2021-08-24,290.98,293.89,290.38,293.29,18175800
2021-08-25,290.39,292.87,288.86,292.59,20006100
2021-08-26,287.59,290.8,287.45,289.41,17666100
2021-08-27,288.19,289.3,285.41,287.49,22605700
2021-08-30,291.91,292.52,289.48,289.54,16348100
2021-08-31,290.27,292.79,289.9,292.71,26285300
2021-09-01,290.22,293.45,289.89,291.22,18983800
2021-09-02,289.57,291.69,288.63,290.58,16285600
2021-09-03,289.56,290.96,288.71,289.41,14747900
2021-09-07,288.63,289.51,286.73,289.43,17180400
2021-09-08,288.66,289.05,286.03,288.25,15046800
2021-09-09,285.82,290.52,285.58,289.25,19927000
2021-09-10,284.34,288.38,284.02,286.94,19633400
2021-09-13,285.57,287.06,282.77,286.1,23652900
2021-09-14,288.26,289.8,286.63,288.04,21853400
2021-09-15,293.09,293.58,290.21,291.59,28356300
2021-09-16,293.48,293.57,289.19,292.08,19550800
2021-09-17,288.34,292.79,288.01,292.47,41372500
2021-09-20,282.98,287.23,278.38,284.93,38278700
2021-09-21,283.46,286.09,282.76,284.32,22364100
2021-09-22,287.09,288.67,283.18,285.32,26626300
2021-09-23,288.04,289.33,286.09,287.35,18604600
2021-09-24,287.84,288.27,285.51,286.76,14999000
2021-09-27,282.85,285.07,281.67,284.75,23571700
2021-09-28,272.61,279.59,271.87,278.65,43186200
2021-09-29,273.08,275.74,272.12,274.13,26353700
2021-09-30,271.08,276.76,270.79,274.72,32343600
2021-10-01,277.98,278.83,270.47,271.27,30086300
2021-10-04,272.22,276.68,269.47,276.34,31350700
2021-10-05,277.65,279.23,273.12,273.12,24993000
2021-10-06,281.84,282.34,274.53,274.79,28002600
2021-10-07,283.51,285.23,282.61,283.83,20430500
2021-10-08,283.51,285.23,282.46,284.83,17685700
2021-10-11,282.91,286.51,281.49,281.65,19298600
2021-10-12,281.61,284.08,281.1,283.98,17974100
2021-10-13,284.91,285.84,282.2,283.57,23416300
2021-10-14,291.1,291.6,286.37,287.7,27262900
2021-10-15,292.51,292.74,288.96,290.71,25384800
2021-10-18,295.47,296.35,291.05,291.89,22729300
2021-10-19,296.37,297.4,295.4,296.49,17682100
2021-10-20,295.59,297.79,294.34,297.32,16537100
2021-10-21,298.81,299.06,294.58,295.35,16918100
2021-10-22,297.27,299.12,295.96,298.46,17449300
2021-10-25,296.28,297.5,294.67,297.46,17554500
2021-10-26,298.18,300.38,296.73,299.04,28107300
2021-10-27,310.74,313.56,303.84,303.84,52588700
2021-10-28,311.87,312.37,309.0,311.85,26297900
2021-10-29,318.86,319.23,311.44,311.66,34766000
2021-11-01,316.7,318.74,313.82,318.61,27073200
2021-11-02,320.32,320.62,317.31,317.6,26487100
2021-11-03,321.15,322.02,317.93,321.06,21500100
2021-11-04,323.5,323.59,316.84,320.09,23992200
2021-11-05,323.13,325.76,321.56,325.49,22570100
2021-11-08,324.03,324.66,321.58,324.33,20897000
2021-11-09,323.03,325.69,321.66,324.14,21307400
2021-11-10,318.08,321.76,317.23,321.7,25500900
2021-11-11,319.64,320.93,317.8,318.51,16849800
2021-11-12,323.77,324.26,320.95,321.08,23831000
2021-11-15,323.14,324.88,321.18,324.56,16723000
2021-11-16,326.45,327.57,322.6,322.77,20886800
2021-11-17,326.67,329.63,325.59,326.5,19053400
2021-11-18,328.74,329.88,324.75,325.77,22463500
2021-11-19,330.52,332.43,329.64,330.06,21963400
2021-11-22,327.36,336.83,327.09,331.97,31031100
2021-11-23,325.28,326.99,321.32,324.68,30427600
2021-11-24,325.51,325.75,321.65,323.94,21661300
2021-11-26,317.58,325.53,316.08,322.08,24217200
2021-11-29,324.27,326.59,322.45,322.65,28563500
2021-11-30,318.46,325.38,316.91,323.01,42885600
2021-12-01,317.96,326.83,317.3,322.83,33337600
2021-12-02,317.4,321.25,315.77,318.18,30766000
2021-12-03,311.15,320.49,306.36,319.8,41779300
2021-12-06,314.22,315.43,307.51,312.06,30032600
2021-12-07,322.63,323.47,317.98,319.47,31021900
2021-12-08,322.67,323.18,318.66,323.0,24761000
2021-12-09,320.87,324.14,319.93,322.13,22214200
2021-12-10,329.97,330.41,322.5,322.68,38095700
2021-12-13,326.94,331.17,326.63,328.17,28899400
2021-12-14,316.29,322.36,312.21,320.99,44438700
2021-12-15,322.37,322.89,312.59,316.55,35381100
2021-12-16,312.97,324.4,311.16,323.39,35034800
2021-12-17,311.91,312.99,305.6,309.1,47750300
2021-12-20,308.17,310.95,305.91,308.3,28326500
2021-12-21,315.28,315.7,308.06,311.42,24740600
2021-12-22,320.97,321.36,313.79,316.25,24831500
2021-12-23,322.4,324.04,320.52,320.54,19617800
2021-12-27,329.88,329.91,323.12,323.15,19947000
2021-12-28,328.72,331.19,327.83,330.55,15661500
2021-12-29,329.4,331.66,327.21,328.77,15042000
2021-12-30,326.86,330.53,326.38,329.36,15994500
2021-12-31,323.97,326.9,323.52,326.08,18000800
2022-01-03,322.46,325.59,317.67,323.04,28865100
2022-01-04,316.93,322.9,314.15,322.54,32674300
2022-01-05,304.77,314.1,304.38,313.9,40054300
2022-01-06,302.36,307.0,300.06,301.66,39646100
2022-01-07,302.51,304.88,298.71,302.62,32720000
2022-01-10,302.73,303.17,293.51,298.13,44289500
2022-01-11,303.42,304.99,298.51,301.88,29386800
2022-01-12,306.59,311.54,305.44,307.94,34372200
2022-01-13,293.61,309.1,292.84,308.71,45366000
2022-01-14,298.81,299.41,292.6,293.08,39846400
2022-01-18,291.54,298.43,290.66,292.91,42333200
2022-01-19,292.2,302.39,291.59,295.05,45933900
2022-01-20,290.53,300.21,290.09,297.73,35380700
2022-01-21,285.16,292.95,284.76,291.58,57984400
2022-01-24,285.49,286.2,265.92,281.47,85731500
2022-01-25,277.9,284.16,274.7,280.82,72848600
2022-01-26,285.82,297.18,282.27,296.68,90428900
2022-01-27,288.83,296.02,286.99,291.55,53481300
2022-01-28,296.94,297.16,283.64,289.21,49743700
2022-01-31,299.56,300.91,295.12,297.61,46444500
2022-02-01,297.43,299.23,293.93,299.02,40950400
2022-02-02,301.95,303.55,297.54,298.26,36636000
2022-02-03,290.19,299.81,288.95,298.13,43730000
2022-02-04,294.71,297.46,288.96,289.19,35096500
2022-02-07,289.9,296.54,288.89,294.93,28533300
2022-02-08,293.38,294.34,288.94,290.19,32421200
2022-02-09,299.79,300.48,296.11,298.5,31284700
2022-02-10,291.28,297.77,289.66,292.88,45386200
2022-02-11,284.21,293.12,283.42,292.06,39175600
2022-02-14,284.17,285.87,280.66,282.99,36359500
2022-02-15,289.44,289.76,286.12,289.0,27058300
2022-02-16,289.1,290.43,283.48,288.01,29982100
2022-02-17,280.64,286.5,279.93,286.07,32461600
2022-02-18,277.93,283.66,276.37,282.88,34264000
2022-02-22,277.73,281.42,274.62,275.11,41736100
2022-02-23,270.54,281.57,270.38,280.11,37811200
2022-02-24,284.36,284.91,262.09,263.05,56989700
2022-02-25,286.99,287.3,281.53,284.89,32546700
2022-02-28,288.42,288.76,282.83,284.09,34627500
2022-03-01,284.71,289.56,282.01,286.11,31217800
2022-03-02,289.77,291.0,283.5,285.11,31873000
2022-03-03,285.65,292.61,283.84,292.38,27314500
2022-03-04,279.8,285.4,277.2,284.07,32356500
2022-03-07,269.23,279.63,268.86,278.51,43157200
2022-03-08,266.27,274.1,260.63,268.16,48159500
2022-03-09,278.48,279.55,271.03,273.6,35204500
2022-03-10,275.68,276.65,270.84,273.19,30628000
2022-03-11,270.35,279.46,269.73,277.96,27209300
2022-03-14,266.84,275.49,266.24,270.61,30660700
2022-03-15,277.18,277.83,269.05,270.62,34245100
2022-03-16,284.17,284.34,273.37,279.07,37826300
2022-03-17,284.97,285.35,279.32,283.11,30816600
2022-03-18,290.0,290.55,282.57,285.12,43390600
2022-03-21,288.77,289.72,284.66,288.51,28351200
2022-03-22,293.5,294.41,288.4,289.39,27599700
2022-03-23,289.09,292.7,287.38,290.08,25715400
2022-03-24,293.54,293.64,287.96,288.76,24484500
2022-03-25,293.14,294.89,288.9,294.63,22566500
2022-03-28,299.91,300.01,293.77,293.77,29578200
2022-03-29,304.46,304.86,298.32,303.01,30393400
2022-03-30,302.96,304.98,300.76,302.87,28163600
2022-03-31,297.61,304.2,297.2,303.0,33422100
2022-04-01,298.68,299.36,294.93,298.63,27110500
2022-04-04,304.04,304.17,298.96,299.33,24289600
2022-04-05,300.09,303.94,299.11,302.39,23156700
2022-04-06,289.1,296.34,286.41,294.6,40110400
2022-04-07,290.91,293.11,286.06,286.36,31411200
2022-04-08,286.66,290.67,285.99,290.01,24361900
2022-04-11,275.36,282.45,275.11,281.66,34569300
2022-04-12,272.27,280.65,270.75,279.2,30966700
2022-04-13,277.64,278.56,271.53,272.92,21907200
2022-04-14,270.12,278.3,269.62,278.09,28221600
2022-04-18,270.78,272.65,268.68,269.23,20778000
2022-04-19,275.4,276.24,268.74,269.68,22297700
2022-04-20,276.42,279.64,275.46,279.35,22906700
2022-04-21,271.06,283.12,270.34,278.56,29454600
2022-04-22,264.52,273.37,263.89,271.9,29405800
2022-04-25,270.97,271.35,261.37,263.8,35678900
2022-04-26,260.84,268.7,260.63,267.87,46518400
2022-04-27,273.39,280.87,269.47,272.31,63477700
2022-04-28,279.58,280.88,271.69,275.29,33646600
2022-04-29,267.89,279.82,266.9,278.59,37073900
2022-05-02,274.59,275.05,266.63,268.07,35151100
2022-05-03,272.0,274.27,270.42,274.1,25978600
2022-05-04,279.91,280.78,267.12,272.78,33599300
2022-05-05,267.72,276.41,264.82,275.63,43260400
2022-05-06,265.19,269.56,261.85,265.27,37780300
2022-05-09,255.4,262.91,254.18,260.68,47726000
2022-05-10,260.14,264.25,255.87,262.26,39336400
2022-05-11,251.5,261.94,250.3,256.46,48975900
2022-05-12,246.49,250.86,241.34,248.74,51033800
2022-05-13,252.06,253.91,246.49,248.42,34925100
2022-05-16,252.42,256.59,246.9,250.94,32550900
2022-05-17,257.56,259.01,253.35,256.87,28828800
2022-05-18,245.83,255.04,244.56,254.46,31356000
2022-05-19,244.92,249.3,243.7,245.66,32692300
2022-05-20,244.36,250.15,238.44,248.89,39199300
2022-05-23,252.19,253.01,245.2,247.2,33175400
2022-05-24,251.19,252.85,245.27,249.52,29043900
2022-05-25,254.0,255.99,248.78,249.76,28547900
2022-05-26,257.27,258.44,252.94,253.75,25002100
2022-05-27,264.37,264.47,258.87,259.76,26910800
2022-05-31,263.04,265.85,260.2,263.68,37827700
2022-06-01,263.58,268.67,261.27,266.27,25292200
2022-06-02,265.67,265.73,253.11,255.86,44008200
2022-06-03,261.25,264.57,259.7,261.53,28059000
2022-06-06,260.02,265.28,258.54,263.23,22400300
2022-06-07,263.65,264.26,257.31,257.98,22860700
2022-06-08,261.63,264.14,260.86,262.89,17372300
2022-06-09,256.19,263.86,256.04,259.09,26439700
2022-06-10,244.78,252.12,244.33,252.12,31422800
2022-06-13,234.39,240.94,233.69,237.15,46135800
2022-06-14,236.55,237.76,233.67,235.94,28651500
2022-06-15,243.59,247.01,238.42,240.25,33111700
2022-06-16,237.02,239.39,235.13,237.99,33169200
2022-06-17,239.61,242.37,236.11,236.76,43084800
2022-06-21,245.5,246.48,241.41,242.13,29928300
2022-06-22,244.91,248.82,242.24,243.71,25939900
2022-06-23,250.46,250.95,245.4,247.27,25861400
2022-06-24,259.01,259.28,253.22,253.31,33923200
2022-06-27,256.29,259.59,254.73,259.5,24615100
2022-06-28,248.15,258.24,248.0,255.41,27295500
2022-06-29,251.81,253.46,247.46,249.23,20069800
2022-06-30,248.49,251.1,244.69,248.7,31730900
2022-07-01,251.15,251.34,246.34,248.07,22837700
2022-07-05,254.32,254.44,246.47,247.84,22941000
2022-07-06,257.57,259.29,253.88,255.19,23824400
2022-07-07,259.69,260.32,256.42,256.51,20859900
2022-07-08,258.97,259.4,254.74,256.19,19658800
2022-07-11,255.92,257.88,253.67,257.03,19455200
2022-07-12,245.43,257.31,243.86,257.25,35868500
2022-07-13,244.51,245.32,240.05,242.07,29497400
2022-07-14,245.83,246.86,237.96,242.43,25102800
2022-07-15,248.39,251.92,246.5,247.42,29774100
2022-07-18,246.0,252.37,245.08,251.32,20975000
2022-07-19,251.1,251.29,245.44,249.22,25012600
2022-07-20,253.75,256.27,250.5,251.46,22788300
2022-07-21,256.24,256.29,248.69,251.36,22404700
2022-07-22,251.91,256.72,250.66,256.63,21881300
2022-07-25,250.43,253.01,248.47,252.53,21056000
2022-07-26,243.72,251.44,241.47,251.42,39348000
2022-07-27,260.01,261.28,250.45,252.68,45994000
2022-07-28,267.44,268.82,259.17,260.99,33459300
2022-07-29,271.63,272.84,267.65,268.68,32152800
2022-08-01,268.98,272.15,266.88,268.8,21539600
2022-08-02,265.9,268.87,263.54,267.04,22754200
2022-08-03,273.3,274.3,267.63,267.77,23518900
2022-08-04,274.44,274.59,271.07,272.65,18098700
2022-08-05,273.72,274.44,269.63,270.09,16774600
2022-08-08,271.22,276.64,270.25,274.83,18739200
2022-08-09,273.13,273.89,268.6,270.56,23405200
2022-08-10,279.77,280.4,277.62,278.81,24687800
2022-08-11,277.7,281.76,277.21,281.41,20065900
2022-08-12,282.43,282.43,277.62,279.11,22619700
2022-08-15,283.94,284.63,280.69,281.55,18085700
2022-08-16,283.21,284.49,280.99,282.51,18102900
2022-08-17,282.46,284.43,280.67,280.93,18253400
2022-08-18,281.35,283.03,280.29,281.36,17186200
2022-08-19,277.45,280.45,276.88,280.11,20570000
2022-08-22,269.3,273.87,268.79,273.5,25061100
2022-08-23,268.03,270.38,267.02,268.03,17527400
2022-08-24,267.4,268.8,266.74,267.03,18137000
2022-08-25,270.37,270.53,266.17,268.9,16583400
2022-08-26,259.94,271.81,259.83,270.59,27549300
2022-08-29,257.16,259.27,255.83,257.76,20338500
2022-08-30,254.97,258.93,252.73,258.56,22767100
2022-08-31,253.52,258.99,253.38,257.32,24791800
2022-09-01,252.48,252.96,247.64,251.0,23263400
2022-09-02,248.27,256.69,246.73,253.74,22855400
2022-09-06,245.55,249.99,244.28,248.41,21328200
2022-09-07,250.24,250.96,245.52,246.95,24126700
