Date,Close,High,Low,Open,Volume
2021-06-22,18.82,18.9,18.32,18.41,580144000
2021-06-23,18.99,19.09,18.84,18.94,332356000
2021-06-24,19.14,19.35,19.02,19.16,320924000
2021-06-25,18.97,19.28,18.83,19.21,278364000
2021-06-28,19.92,20.01,19.25,19.29,495436000
2021-06-29,19.96,20.03,19.59,19.81,367632000
2021-06-30,19.93,20.09,19.8,19.93,326568000
2021-07-01,20.14,20.39,19.95,20.06,480136000
2021-07-02,20.42,20.43,20.22,20.37,342764000
2021-07-06,20.63,20.77,20.28,20.67,446708000
2021-07-07,20.3,20.8,20.26,20.78,418428000
2021-07-08,19.83,20.06,19.63,19.79,503300000
2021-07-09,19.98,20.01,19.69,19.89,296624000
2021-07-12,20.44,20.46,20.12,20.17,321984000
2021-07-13,20.18,20.39,20.04,20.33,290708000
2021-07-14,19.77,20.35,19.68,20.29,380100000
2021-07-15,18.9,19.78,18.79,19.74,550564000
2021-07-16,18.1,19.09,18.01,18.96,688224000
2021-07-19,18.72,18.98,17.8,17.85,749060000
2021-07-20,18.55,18.77,18.1,18.67,434687000
2021-07-21,19.34,19.46,18.68,18.82,371017000
2021-07-22,19.53,19.82,19.21,19.57,323826000
2021-07-23,19.49,19.63,19.18,19.59,195672000
2021-07-26,19.23,19.37,18.85,19.24,203943000
2021-07-27,19.14,19.55,18.68,19.2,248863000
2021-07-28,19.44,19.58,18.93,19.25,202191000
2021-07-29,19.59,19.78,19.26,19.45,190781000
2021-07-30,19.43,19.56,19.2,19.35,183497000
2021-08-02,19.68,19.89,19.29,19.63,217444000
2021-08-03,19.75,20.15,19.15,19.67,301811000
2021-08-04,20.2,20.25,19.76,19.92,231309000
2021-08-05,20.57,20.66,20.27,20.43,211435000
2021-08-06,20.3,20.5,20.14,20.45,178497000
2021-08-09,20.23,20.44,20.07,20.38,146443000
2021-08-10,19.87,20.36,19.77,20.25,179238000
2021-08-11,19.63,19.98,19.36,19.97,185925000
2021-08-12,19.84,19.96,19.55,19.8,151652000
2021-08-13,20.12,20.14,19.78,19.84,183063000
2021-08-16,19.88,20.22,19.39,20.07,210876000
2021-08-17,19.39,19.7,19.2,19.62,204585000
2021-08-18,18.97,19.57,18.93,19.43,285913000
2021-08-19,19.73,20.42,18.7,19.43,766555000
2021-08-20,20.74,20.79,19.86,19.92,675741000
2021-08-23,21.88,21.92,20.88,20.9,575807000
2021-08-24,21.72,21.88,21.46,21.68,297299000
2021-08-25,22.14,22.39,21.65,21.66,347701000
2021-08-26,21.99,22.26,21.71,22.12,237940000
2021-08-27,22.56,22.64,22.09,22.11,304722000
2021-08-30,22.61,22.96,22.47,22.75,262580000
2021-08-31,22.31,22.62,22.05,22.62,259850000
