stage,num_layers,hidden_units,batch_size,learning_rate,seq_len,mae,rmse,r2
A,1,32,32,0.001,30,4.363333482112129,5.5331537039266765,0.9417953067730765
A,1,64,32,0.001,30,12.156350882778085,15.241652542681072,0.558351612122187
A,1,128,32,0.001,30,34.23677236683044,38.28492555000306,-1.786558399928531
A,2,32,32,0.001,30,11.993378096929202,14.47064531029661,0.6019035242736658
A,2,64,32,0.001,30,50.42962300170361,53.367031214170495,-4.414503306242994
A,2,128,32,0.001,30,4.7188875388258875,6.112842325417791,0.9289606591643791
A,3,32,32,0.001,30,10.360655926271681,12.328638245582734,0.7110366560583877
A,3,64,32,0.001,30,11.322545843586523,13.522808457934275,0.6523467220002481
A,3,128,32,0.001,30,15.078180442507572,17.86255007423329,0.3934041230689427
B,1,32,16,0.01,30,22.550592326025605,24.809433390820026,-0.17016263697807976
B,1,32,16,0.001,30,16.02585911687775,20.344813702953676,0.2130992299617015
B,1,32,16,0.0001,30,31.11256406002633,35.466349562553255,-1.3913630583763794
B,1,32,32,0.01,30,144.90024408550514,146.70406545019537,-39.91634518496314
B,1,32,32,0.0001,30,36.418889353747936,40.240700804830965,-2.0785315340470896
B,1,32,64,0.01,30,31.744052882257538,34.70762358882933,-1.290141375474732
B,1,32,64,0.001,30,27.22708246575578,31.57445772092836,-0.8953278161800198
B,1,32,64,0.0001,30,45.08335812740914,54.561860753572816,-4.659667027651202
C,1,32,32,0.001,10,22.91037822975461,28.217508168453094,-0.5137350061871229
C,1,32,32,0.001,20,27.507436109366395,33.37852762804161,-1.1181020786858844
C,1,32,32,0.001,30,13.290991315799662,16.57184674431421,0.4778992078322569
